UK-AIR ID,EU Site ID,EMEP Site ID,lookupvalue_data,lookup_settelment,Site Name,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
LVP6,,,Liverpool Speke Road,Liverpool,Liverpool Speke Road (Liverpool),Urban Traffic,Liverpool Urban Area,17/08/2020,,53.351389,-2.886944,384200.38,341057.55,,Locally-managed automatic monitoring,,
BEX,,,London Bexley,Bexley,London Bexley (Bexley),Suburban Background,Greater London Urban Area,01/05/1994,,51.46603,0.184806,176381.11,551858.96,,Locally-managed automatic monitoring,,
HB006,,,London Luton Airport,Luton,London Luton Airport (Luton),Urban Industrial,Eastern,16/10/2003,,51.87765,-0.376297,221143.75,511868.25,,Locally-managed automatic monitoring,,
LA001,,,Luton Airport FutureLuToN,Luton,Luton Airport FutureLuToN (Luton),Urban Industrial,Eastern,19/06/2019,,51.887035,-0.365652,222203.9,512577.6,,Locally-managed automatic monitoring,,
HB113,,,Luton Challney Community College,Luton,Luton Challney Community College (Luton),Urban Background,Eastern,22/03/1999,02/10/2014,51.893611,-0.467222,222783.21,505572.21,,Locally-managed automatic monitoring,,
HB007,,,Luton Dunstable Road East,Luton,Luton Dunstable Road East (Luton),Urban Traffic,Eastern,27/10/2014,,51.880154,-0.422144,221352.87,508706.42,,Locally-managed automatic monitoring,,
ZM2,,,Maidstone A229 Kerbside,Maidstone,Maidstone A229 Kerbside (Maidstone),Urban Traffic,South East,01/06/1999,14/06/2016,51.272794,0.518263,155638.97,575756.76,,Locally-managed automatic monitoring,,
ZM3,,,Maidstone Rural,Maidstone,Maidstone Rural (Maidstone),Rural Background,South East,01/01/1999,,51.307938,0.58265,159702.59,580109.87,,Locally-managed automatic monitoring,,
MAD,,,Maidstone Upper Stone Street,Maidstone,Maidstone Upper Stone Street (Maidstone),Urban Traffic,South East,02/12/2016,,51.26861,0.526389,155193.2,576339.5,,Locally-managed automatic monitoring,,
MAN1,,,Manchester Oxford Road,Manchester,Manchester Oxford Road (Manchester),Urban Traffic,Greater Manchester Urban Area,08/03/2010,,53.472024,-2.238911,397281.12,384238.98,,Locally-managed automatic monitoring,,
MAN7,,,Manchester Piccadilly LA,Manchester,Manchester Piccadilly LA (Manchester),Urban Background,Greater Manchester Urban Area,01/10/2007,04/01/2012,53.48157,-2.23793,398342.93,384307.64,,Locally-managed automatic monitoring,,
MAHG,,,Manchester Sharston,Manchester,Manchester Sharston (Manchester),Suburban Industrial,Greater Manchester Urban Area,27/01/2016,,53.371722,-2.238917,386122.3,384201.2,,Locally-managed automatic monitoring,,
MAN8,,,Manchester South SO2,Manchester,Manchester South SO2 (Manchester),Suburban Background,Greater Manchester Urban Area,01/10/2007,25/01/2016,53.368889,-2.243333,385808.08,383906.28,,Locally-managed automatic monitoring,,
MAWR,,,Marchlyn Mawr,Gwynedd,Marchlyn Mawr (Gwynedd),Rural Background,North Wales,15/07/1999,,53.136152,-4.074791,361900,261300,,Locally-managed automatic monitoring,,
MP1,,,Marchwood Power - Marchwood,New Forest,Marchwood Power - Marchwood (New Forest),Urban Industrial,South East,21/09/2007,07/01/2015,50.898506,-1.445788,111152,439071,,Locally-managed automatic monitoring,,
MP2,,,Marchwood Power - Millbrook Rd Soton,Southampton,Marchwood Power - Millbrook Rd Soton (Southampton),Urban Industrial,Southampton Urban Area,21/09/2007,08/06/2015,50.912965,-1.436635,112762,439701,,Locally-managed automatic monitoring,,
WIL7,,,Marlborough London Road,Wiltshire,Marlborough London Road (Wiltshire),Urban Traffic,South West,01/01/2016,16/09/2016,51.420963,-1.726842,169140.95,419090.56,,Locally-managed automatic monitoring,,
WIL9,,,Marlborough London Road 2,Wiltshire,Marlborough London Road 2 (Wiltshire),Urban Traffic,South West,30/01/2017,,51.419882,-1.725223,169021.15,419203.59,,Locally-managed automatic monitoring,,
ME2,,,Merton - Merton Road,Merton,Merton - Merton Road (Merton),Urban Traffic,Greater London Urban Area,26/08/2011,,51.416138,-0.192231,170119.08,525808.04,,Locally-managed automatic monitoring,,
ME1,,,Merton - Morden Civic Centre,Merton,Merton - Morden Civic Centre (Merton),Urban Traffic,Greater London Urban Area,09/02/2010,02/10/2014,51.40105,-0.195929,168434.87,525592.19,,Locally-managed automatic monitoring,,
ME9,,,Merton - Morden Civic Centre 2,Merton,Merton - Morden Civic Centre 2 (Merton),Not Available,Greater London Urban Area,28/09/2017,,51.40162,-0.195892,168498.32,525593.2,,Locally-managed automatic monitoring,,
ME7,,,Merton - Willow Lane Industrial Estate,Merton,Merton - Willow Lane Industrial Estate (Merton),Urban Industrial,Greater London Urban Area,05/08/2015,01/04/2016,51.394342,-0.165161,167742,527751,,Locally-managed automatic monitoring,,
HB114,,,Mid Beds Biggleswade,Central Bedfordshire,Mid Beds Biggleswade (Central Bedfordshire),Urban Traffic,Eastern,09/02/1999,29/10/1999,52.086944,-0.263056,244599.93,519106.93,,Locally-managed automatic monitoring,,
HB115,,,Mid Beds Sandy,Central Bedfordshire,Mid Beds Sandy (Central Bedfordshire),Urban Traffic,Eastern,15/12/2002,26/07/2008,52.132417,-0.300306,249596.87,516436.44,,Locally-managed automatic monitoring,,
HB116,,,Mid Beds Silsoe,Central Bedfordshire,Mid Beds Silsoe (Central Bedfordshire),Rural Background,Eastern,20/02/1998,18/09/2006,52.008889,-0.408889,235689.95,509305.66,,Locally-managed automatic monitoring,,
MID2,,,Midlothian Dalkeith,Midlothian,Midlothian Dalkeith (Midlothian),Urban Traffic,Central Scotland,01/01/2008,07/07/2011,55.894214,-3.070358,667305.09,333159.77,,Locally-managed automatic monitoring,,
MID1,,,Midlothian Pathhead,Midlothian,Midlothian Pathhead (Midlothian),Urban Traffic,Central Scotland,01/01/2008,09/07/2013,55.867441,-2.967367,664230.58,339558.78,,Locally-managed automatic monitoring,,
MV3,,,Mole Valley - Dorking,Mole Valley,Mole Valley - Dorking (Mole Valley),Not Available,South East,18/10/2001,11/04/2016,51.23545,-0.32499,149806.65,517035.29,,Locally-managed automatic monitoring,,
MV1,,,Mole Valley - Leatherhead,Mole Valley,Mole Valley - Leatherhead (Mole Valley),Not Available,South East,29/04/1996,26/02/1999,51.305764,-0.343022,157597.13,515600.04,,Locally-managed automatic monitoring,,
MV2,,,Mole Valley - Lower Ashtead,Mole Valley,Mole Valley - Lower Ashtead (Mole Valley),Not Available,Greater London Urban Area,29/04/1997,18/07/2006,51.306587,-0.306265,157747.13,518160.04,,Locally-managed automatic monitoring,,
MON,,,Monmouth,Monmouthshire,Monmouth (Monmouthshire),Urban Background,South Wales,01/01/2002,27/08/2004,51.8123,-2.711119,212869,351073,,Locally-managed automatic monitoring,,
NL013,,,N Lanarkshire Airdrie Kenilworth Dr,North Lanarkshire,N Lanarkshire Airdrie Kenilworth Dr (North Lanarkshire),Urban Traffic,Glasgow Urban Area,07/09/2019,,55.870001,-3.961073,665831.3,277385.6,,Locally-managed automatic monitoring,,
NL3,,,N Lanarkshire Chapelhall,North Lanarkshire,N Lanarkshire Chapelhall (North Lanarkshire),Urban Traffic,Glasgow Urban Area,01/10/2007,,55.84581,-3.947346,663115.23,278168.64,,Locally-managed automatic monitoring,,
NL2,,,N Lanarkshire Coatbridge Ellis St,North Lanarkshire,N Lanarkshire Coatbridge Ellis St (North Lanarkshire),Urban Traffic,Glasgow Urban Area,01/10/2007,17/12/2008,55.861944,-4.029444,665058.18,273081.65,,Locally-managed automatic monitoring,,
NL015,,,N Lanarkshire Coatbridge Sunnyside Rd,North Lanarkshire,N Lanarkshire Coatbridge Sunnyside Rd (North Lanarkshire),Urban Traffic,Glasgow Urban Area,17/08/2019,17/02/2021,55.863522,-4.029968,665234.7,273054,,Locally-managed automatic monitoring,,
NL1,,,N Lanarkshire Coatbridge Whifflet,North Lanarkshire,N Lanarkshire Coatbridge Whifflet (North Lanarkshire),Urban Background,Glasgow Urban Area,01/10/2007,,55.851944,-4.019444,663927.14,273674.95,,Locally-managed automatic monitoring,,
NL017,,,N Lanarkshire Coatbridge Whifflet A725,North Lanarkshire,N Lanarkshire Coatbridge Whifflet A725 (North Lanarkshire),Urban Traffic,Glasgow Urban Area,18/02/2021,,55.851402,-4.019875,663867.6,273646.2,,Locally-managed automatic monitoring,,
NL4,,,N Lanarkshire Croy,North Lanarkshire,N Lanarkshire Croy (North Lanarkshire),Urban Traffic,Central Scotland,01/10/2007,,55.957778,-4.039444,675740.3,272770.4,,Locally-managed automatic monitoring,,
NL5,,,N Lanarkshire Harthill,North Lanarkshire,N Lanarkshire Harthill (North Lanarkshire),Urban Traffic,Central Scotland,01/10/2007,20/01/2009,55.855833,-3.79,663964.57,288048.21,,Locally-managed automatic monitoring,,
NL8,,,N Lanarkshire Harthill West,North Lanarkshire,N Lanarkshire Harthill West (North Lanarkshire),Urban Background,Central Scotland,04/04/2009,24/05/2010,55.854852,-3.79918,663870.31,287470.79,,Locally-managed automatic monitoring,,
NL11,,,N Lanarkshire Kirkshaws,North Lanarkshire,N Lanarkshire Kirkshaws (North Lanarkshire),Urban Traffic,Glasgow Urban Area,28/06/2014,,55.843583,-4.037413,663029.8,272522.8,,Locally-managed automatic monitoring,,
NL9,,,N Lanarkshire Moodiesburn,North Lanarkshire,N Lanarkshire Moodiesburn (North Lanarkshire),Urban Traffic,Central Scotland,08/10/2008,24/07/2017,55.908941,-4.082339,670386,269929,,Locally-managed automatic monitoring,,
NL6,,,N Lanarkshire Motherwell,North Lanarkshire,N Lanarkshire Motherwell (North Lanarkshire),Urban Traffic,Glasgow Urban Area,31/01/2007,,55.788333,-3.986389,656789.09,275540.87,,Locally-managed automatic monitoring,,
NL016,,,N Lanarkshire Motherwell Adele St.,North Lanarkshire,N Lanarkshire Motherwell Adele St. (North Lanarkshire),Urban Traffic,Glasgow Urban Area,07/08/2020,,55.7826,-3.98448,656147.7,275642.3,,Locally-managed automatic monitoring,,
NL012,,,N Lanarkshire Motherwell Civic Centre,North Lanarkshire,N Lanarkshire Motherwell Civic Centre (North Lanarkshire),Urban Background,Glasgow Urban Area,05/07/2018,31/05/2019,55.783432,-3.98179,656235.48,275813.6,,Locally-managed automatic monitoring,,
NL7,,,N Lanarkshire Shawhead Coatbridge,North Lanarkshire,N Lanarkshire Shawhead Coatbridge (North Lanarkshire),Urban Traffic,Glasgow Urban Area,01/05/2009,,55.843523,-4.023222,662997,273411,,Locally-managed automatic monitoring,,
NL014,,,N Lanarkshire Uddingston New Edinburgh Rd,North Lanarkshire,N Lanarkshire Uddingston New Edinburgh Rd (North Lanarkshire),Urban Traffic,Glasgow Urban Area,17/08/2019,,55.82894,-4.090571,661499.7,269145.6,,Locally-managed automatic monitoring,,
CAE7,,,Nantgarw Road,Caerphilly,Nantgarw Road (Caerphilly),Urban Traffic,South Wales,01/09/2011,,51.57537,-3.231658,186997,314744,,Locally-managed automatic monitoring,,
TD0,,,"National Physical Laboratory, Teddington",Richmond,"National Physical Laboratory, Teddington (Richmond)",Suburban Background,Greater London Urban Area,08/08/1996,27/07/2016,51.424304,-0.345715,170775.08,515115.04,,Locally-managed automatic monitoring,,
NF002,,,New Forest - Fawley,New Forest,New Forest - Fawley (New Forest),Urban Industrial,South East,01/01/2002,,50.826958,-1.349945,103247.87,445881.06,,Locally-managed automatic monitoring,,
NF001,,,New Forest - Holbury,New Forest,New Forest - Holbury (New Forest),Urban Industrial,South East,01/01/2001,20/03/2017,50.833312,-1.391525,103929.53,442946.7,,Locally-managed automatic monitoring,,
NF005,,,New Forest - Lyndhurst,New Forest,New Forest - Lyndhurst (New Forest),Urban Traffic,South East,13/12/2004,,50.872564,-1.577085,108203.35,429854.18,,Locally-managed automatic monitoring,,
NF003,,,New Forest - Ringwood,New Forest,New Forest - Ringwood (New Forest),Urban Background,South East,01/01/2001,07/10/2004,50.84831,-1.798983,105440.32,414248,,Locally-managed automatic monitoring,,
NF004,,,New Forest - Totton,New Forest,New Forest - Totton (New Forest),Urban Traffic,South East,01/06/2004,,50.917451,-1.48659,113235.29,436187.01,,Locally-managed automatic monitoring,,
NCA04,,,Newcastle Percy Street,Newcastle upon Tyne,Newcastle Percy Street (Newcastle upon Tyne),Urban Traffic,Tyneside,01/01/2014,31/12/2020,54.97776,-1.61444,564862.6,424776.1,,Locally-managed automatic monitoring,,
NCA2,,,Newcastle Percy Street,Newcastle upon Tyne,Newcastle Percy Street (Newcastle upon Tyne),Urban Traffic,Tyneside,01/01/2014,,54.977778,-1.614444,564864.56,424775.8,,Locally-managed automatic monitoring,,
NCA05,,,Newcastle Pilgrim Street,Newcastle upon Tyne,Newcastle Pilgrim Street (Newcastle upon Tyne),Urban Traffic,Tyneside,01/01/2014,31/12/2020,54.970984,-1.609028,564110.4,425126.7,,Locally-managed automatic monitoring,,
NCA5,,,Newcastle Pilgrim Street,Newcastle upon Tyne,Newcastle Pilgrim Street (Newcastle upon Tyne),Urban Traffic,Tyneside,01/01/2014,,54.971111,-1.609167,564124.52,425117.7,,Locally-managed automatic monitoring,,
NUL1,,,Newcastle-under-Lyme Queens Gardens,Newcastle-under-Lyme,Newcastle-under-Lyme Queens Gardens (Newcastle-under-Lyme),Urban Traffic,The Potteries,01/04/2015,31/03/2018,53.012375,-2.224184,346142.29,385056.04,,Locally-managed automatic monitoring,,
NEW2,,,Newham Cam Road,Newham,Newham Cam Road (Newham),Urban Traffic,Greater London Urban Area,06/10/2000,31/03/2021,51.537598,-0.002138,183968.73,538657.33,,Locally-managed automatic monitoring,,
NEW3,,,Newham Wren Close,Newham,Newham Wren Close (Newham),Urban Background,Greater London Urban Area,14/03/2003,31/03/2021,51.514727,0.014554,181457.18,539884.91,,Locally-managed automatic monitoring,,
NPT4,,,Newport M4 Junction 25,Newport,Newport M4 Junction 25 (Newport),Urban Traffic,South Wales,15/06/2012,,51.601262,-2.973273,189607,332688,,Locally-managed automatic monitoring,,
NPT2,,,Newport Malpas Depot,Newport,Newport Malpas Depot (Newport),Urban Background,South Wales,01/06/2003,31/10/2011,51.602642,-3.00388,189789,330570,,Locally-managed automatic monitoring,,
NPT1,,,Newport St Julians Comp School,Newport,Newport St Julians Comp School (Newport),Urban Background,South Wales,14/01/2003,31/12/2007,51.601203,-2.977281,189604,332410,,Locally-managed automatic monitoring,,
NWY4,,,Newry Bridge Street,"Newry, Mourne and Down","Newry Bridge Street (Newry, Mourne and Down)",Urban Traffic,,27/04/2006,18/05/2009,54.16965,-6.339959,325786.48,308463.07,,Locally-managed automatic monitoring,,
NWY5,,,Newry Canal Street,"Newry, Mourne and Down","Newry Canal Street (Newry, Mourne and Down)",Urban Traffic,,01/06/2009,,54.180381,-6.33924,326981.92,308481.94,,Locally-managed automatic monitoring,,
NWY3,,,Newry Kilkeel,"Newry, Mourne and Down","Newry Kilkeel (Newry, Mourne and Down)",Urban Background,,22/04/2004,28/02/2006,54.065032,-6.010614,314699.14,330297.27,,Locally-managed automatic monitoring,,
NWY2,,,Newry Monaghan Row,"Newry, Mourne and Down","Newry Monaghan Row (Newry, Mourne and Down)",Urban Background,,01/04/2001,18/04/2016,54.178861,-6.348254,326798.95,307897.41,,Locally-managed automatic monitoring,,
NWY1,,,Newry Trevor Hill,"Newry, Mourne and Down","Newry Trevor Hill (Newry, Mourne and Down)",Urban Traffic,,01/05/2001,18/01/2016,54.177949,-6.336016,326716.2,308698.8,,Locally-managed automatic monitoring,,
NWT5,,,Newtownabbey Antrim Road,Antrim and Newtownabbey,Newtownabbey Antrim Road (Antrim and Newtownabbey),Urban Traffic,,28/01/2008,,54.666013,-5.950219,381696.95,332304.97,,Locally-managed automatic monitoring,,
NWT3,,,Newtownabbey Ballyclare,Antrim and Newtownabbey,Newtownabbey Ballyclare (Antrim and Newtownabbey),Urban Background,,23/02/2005,25/09/2007,54.68435,-5.968351,383703.82,331076.13,,Locally-managed automatic monitoring,,
NWT4,,,Newtownabbey Ballyclare Main St,Antrim and Newtownabbey,Newtownabbey Ballyclare Main St (Antrim and Newtownabbey),Not Available,,20/12/2007,02/04/2012,54.75155,-5.999965,391124.6,328824.26,,Locally-managed automatic monitoring,,
NWT2,,,Newtownabbey Sandyknowes,Antrim and Newtownabbey,Newtownabbey Sandyknowes (Antrim and Newtownabbey),Urban Traffic,,01/04/2003,02/04/2012,54.678291,-5.976958,383013.43,330540.55,,Locally-managed automatic monitoring,,
NWT1,,,Newtownabbey Shore Road,Antrim and Newtownabbey,Newtownabbey Shore Road (Antrim and Newtownabbey),Urban Traffic,,01/04/2003,18/09/2007,54.653725,-5.913772,380398.61,334696.92,,Locally-managed automatic monitoring,,
DYS1,,,Newtownstewart,Derry and Strabane,Newtownstewart (Derry and Strabane),Urban Background,Northern Ireland,08/04/2021,,54.716338,-7.379876,385521,240021,,Locally-managed automatic monitoring,,
IRV,,,North Ayrshire Irvine High St,North Ayrshire,North Ayrshire Irvine High St (North Ayrshire),Urban Traffic,Central Scotland,12/02/2009,,55.614578,-4.666786,638892,232142,,Locally-managed automatic monitoring,,
ND1,,,North Down Bangor,Ards and North Down,North Down Bangor (Ards and North Down),Urban Background,,25/02/2003,05/01/2011,54.655163,-5.678749,381034.77,349857.79,,Locally-managed automatic monitoring,,
ND2,,,North Down Holywood A2,Ards and North Down,North Down Holywood A2 (Ards and North Down),Urban Traffic,,01/03/2003,,54.641963,-5.837939,379237.64,339630.86,,Locally-managed automatic monitoring,,
HB117,,,North Herts Baldock 1,North Hertfordshire,North Herts Baldock 1 (North Hertfordshire),Urban Traffic,Eastern,23/01/1999,24/05/2000,51.989722,-0.188333,233912.64,524495.91,,Locally-managed automatic monitoring,,
HB118,,,North Herts Baldock 2,North Hertfordshire,North Herts Baldock 2 (North Hertfordshire),Urban Traffic,Eastern,23/05/2000,23/05/2002,51.986111,-0.198611,233493.51,523800.17,,Locally-managed automatic monitoring,,
HB119,,,North Herts Baldock Roadside,North Hertfordshire,North Herts Baldock Roadside (North Hertfordshire),Urban Traffic,Eastern,22/09/2009,11/09/2012,51.989444,-0.188889,233880.77,524458.5,,Locally-managed automatic monitoring,,
HB120,,,North Herts Breechwood Green,North Hertfordshire,North Herts Breechwood Green (North Hertfordshire),Urban Background,Eastern,14/05/2003,22/09/2009,51.883889,-0.329167,221910.99,515096.42,,Locally-managed automatic monitoring,,
HB121,,,North Herts Hitchin Library,North Hertfordshire,North Herts Hitchin Library (North Hertfordshire),Urban Traffic,Eastern,26/02/2010,03/08/2015,51.948056,-0.281944,229122.8,518178,,Locally-managed automatic monitoring,,
HB122,,,North Herts Royston,North Hertfordshire,North Herts Royston (North Hertfordshire),Urban Background,Eastern,31/05/2002,13/05/2003,52.048611,-0.029167,240745.99,535246.52,,Locally-managed automatic monitoring,,
NL10,,,North Lanarkshire Cumbernauld,North Lanarkshire,North Lanarkshire Cumbernauld (North Lanarkshire),Urban Traffic,Central Scotland,01/01/2011,01/05/2014,55.943042,-4.016172,674057.93,274175.27,,Locally-managed automatic monitoring,,
APB2,,,North Lincs Appleby Village,North Lincolnshire,North Lincs Appleby Village (North Lincolnshire),Urban Background,Yorkshire & Humberside,07/02/2007,05/04/2018,53.620767,-0.563984,414761,495081,,Locally-managed automatic monitoring,,
BROU,,,North Lincs Broughton,North Lincolnshire,North Lincs Broughton (North Lincolnshire),Urban Background,Yorkshire & Humberside,01/03/2006,23/07/2010,53.572519,-0.551015,409411,496048,,Locally-managed automatic monitoring,,
CHSQ,,,North Lincs Church Square,North Lincolnshire,North Lincs Church Square (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,12/07/2013,11/07/2014,53.59175,-0.64187,411431.81,489991.22,,Locally-managed automatic monitoring,,
HSE1,,,North Lincs High Street East,North Lincolnshire,North Lincs High Street East (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,22/08/2014,,53.590539,-0.638399,411301,490223,,Locally-managed automatic monitoring,,
KEAD,,,North Lincs Keadby,North Lincolnshire,North Lincs Keadby (North Lincolnshire),Urban Traffic,Yorkshire & Humberside,18/12/2003,15/02/2005,53.589583,-0.73859,411073,483594,,Locally-managed automatic monitoring,,
KILO,,,North Lincs Killingholme East Halton Road,North Lincolnshire,North Lincs Killingholme East Halton Road (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,25/01/2018,29/03/2019,53.641667,-0.274722,417510.9,514156,,Locally-managed automatic monitoring,,
SOKI,,,North Lincs Killingholme Roadside,North Lincolnshire,North Lincs Killingholme Roadside (North Lincolnshire),Urban Background,Yorkshire & Humberside,01/10/2013,03/01/2018,53.62777,-0.265398,415980,514810,,Locally-managed automatic monitoring,,
KILH,,,North Lincs Killingholme School,North Lincolnshire,North Lincs Killingholme School (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,01/03/2003,,53.629166,-0.264297,416137,514879,,Locally-managed automatic monitoring,,
LAKE,,,North Lincs Lakeside,North Lincolnshire,North Lincs Lakeside (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,11/04/2011,04/04/2018,53.560909,-0.616651,408033,491727,,Locally-managed automatic monitoring,,
SANT,,,North Lincs Santon,North Lincolnshire,North Lincs Santon (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,01/10/2005,,53.595721,-0.59711,411931,492945,,Locally-managed automatic monitoring,,
STON,,,North Lincs Santon,FDMS only North Lincolnshire,North Lincs Santon (FDMS only) (North Lincolnshire),Not Available,Yorkshire & Humberside,10/03/2010,,53.5965,-0.59745,412017,492920,,Locally-managed automatic monitoring,,
DAWE,,,North Lincs Santon Dawes Lane,North Lincolnshire,North Lincs Santon Dawes Lane (North Lincolnshire),Not Available,Yorkshire & Humberside,17/11/2008,,53.595407,-0.604131,411887,492481,,Locally-managed automatic monitoring,,
SFER,,,North Lincs South Ferriby,North Lincolnshire,North Lincs South Ferriby (North Lincolnshire),Not Available,Yorkshire & Humberside,17/11/2008,,53.676238,-0.518951,420993,497931,,Locally-managed automatic monitoring,,
TARM,,,North Lincs Tarmac,North Lincolnshire,North Lincs Tarmac (North Lincolnshire),Not Available,Yorkshire & Humberside,13/10/2011,16/05/2016,53.592673,-0.600142,492736,411585,,Locally-managed automatic monitoring,,
NTC01,,,North Tyneside Coast Road,North Tyneside,North Tyneside Coast Road (North Tyneside),Urban Traffic,North East,01/01/2019,,54.996476,-1.558763,566966.3,428326.6,,Locally-managed automatic monitoring,,
HAMB,,,Northallerton South Parade,Hambleton,Northallerton South Parade (Hambleton),Urban Traffic,Yorkshire & Humberside,01/01/2002,12/01/2019,54.334167,-1.438889,493323.24,436584.05,,Locally-managed automatic monitoring,,
NWC01,,,Northumbrian Water - Chester,Flintshire,Northumbrian Water - Chester (Flintshire),Not Available,North Wales,10/07/2012,20/09/2014,53.143889,-3.045833,361260.33,330143.63,,Locally-managed automatic monitoring,,
NO11,,,Norwich Castle Meadow,Norwich,Norwich Castle Meadow (Norwich),Urban Traffic,Eastern,15/05/2006,,52.629444,1.296667,308623.37,623201.38,,Locally-managed automatic monitoring,,
NOT2,,,Nottingham Carter Gate,Nottingham,Nottingham Carter Gate (Nottingham),Urban Traffic,Nottingham Urban Area,02/04/2004,,52.951389,-1.138889,339681.15,457952.7,,Locally-managed automatic monitoring,,
NOT3,,,Nottingham Lace Street,Nottingham,Nottingham Lace Street (Nottingham),Urban Traffic,Nottingham Urban Area,01/01/2008,,52.939444,-1.183889,338317.07,454944.44,,Locally-managed automatic monitoring,,
NOT4,,,Nottingham St Andrews Road,Nottingham,Nottingham St Andrews Road (Nottingham),Urban Traffic,Nottingham Urban Area,10/11/2015,,52.966667,-1.153333,341369.15,456962.23,,Locally-managed automatic monitoring,,
CW,,,Oldham Shaw Crompton Way,Oldham,Oldham Shaw Crompton Way (Oldham),Urban Traffic,Greater Manchester Urban Area,05/03/2014,,53.5794,-2.09385,409204.72,393883.62,,Locally-managed automatic monitoring,,
OLDH,,,Oldham West End House,Oldham,Oldham West End House (Oldham),Urban Background,Greater Manchester Urban Area,04/12/1998,06/07/2011,53.545943,-2.122694,405485.36,391967.42,,Locally-managed automatic monitoring,,
OM,,,Omagh Tamlaght,Fermanagh and Omagh,Omagh Tamlaght (Fermanagh and Omagh),Not Available,,26/09/2003,10/04/2004,54.596274,-7.347907,372198.26,242197.64,,Locally-managed automatic monitoring,,
OX6,,,Oxford High St,Oxford,Oxford High St (Oxford),Urban Traffic,South East,23/06/2003,,51.752527,-1.250939,206246.86,451804.43,,Locally-managed automatic monitoring,,
OX3,,,Oxford St Ebbes,Cal Club Oxford,Oxford St Ebbes (Cal Club) (Oxford),Urban Background,South East,01/07/1997,,51.744856,-1.260338,205387.08,451164.27,,Locally-managed automatic monitoring,,
PAIS,,,Paisley Central Road,Renfrewshire,Paisley Central Road (Renfrewshire),Urban Traffic,Glasgow Urban Area,01/05/2004,22/08/2014,55.846944,-4.422222,664180.03,248445.41,,Locally-managed automatic monitoring,,
PAI2,,,Paisley Glasgow Airport,Renfrewshire,Paisley Glasgow Airport (Renfrewshire),Suburban Industrial,Glasgow Urban Area,01/05/2004,15/07/2015,55.868025,-4.425942,666533.69,248294.8,,Locally-managed automatic monitoring,,
PAI3,,,Paisley Gordon Street,Renfrewshire,Paisley Gordon Street (Renfrewshire),Urban Traffic,Glasgow Urban Area,01/05/2004,,55.841836,-4.423958,663615.52,248316.83,,Locally-managed automatic monitoring,,
PAI4,,,Paisley St James St,Renfrewshire,Paisley St James St (Renfrewshire),Urban Traffic,Glasgow Urban Area,19/08/2010,02/07/2019,55.848115,-4.426619,664319.96,248174.75,,Locally-managed automatic monitoring,,
PEM1,,,Pembroke Power Station,Pembrokeshire,Pembroke Power Station (Pembrokeshire),Urban Industrial,South Wales,01/10/2013,31/12/2015,51.688254,-4.993565,203076,193178,,Locally-managed automatic monitoring,,
PEND,,,Pendle Colne Skipton Road,Pendle,Pendle Colne Skipton Road (Pendle),Urban Traffic,North West & Merseyside,15/10/2009,01/11/2016,53.860278,-2.1625,440462.97,389409.84,,Locally-managed automatic monitoring,,
WOLV002,,,Penn Road,Wolverhampton,Penn Road (Wolverhampton),Not Available,West Midlands Urban Area,01/01/2004,,52.568737,-2.143408,296777.65,390376.99,,Locally-managed automatic monitoring,,
PET2,,,Perth Atholl Street,Perth and Kinross,Perth Atholl Street (Perth and Kinross),Urban Traffic,North East Scotland,01/08/2004,,56.399327,-3.434182,723931.02,311577.28,,Locally-managed automatic monitoring,,
PET06,,,Perth Bridgend,Perth and Kinross,Perth Bridgend (Perth and Kinross),Urban Traffic,Glasgow Urban Area,17/03/2021,,56.401501,-3.423298,724159,312254,,Locally-managed automatic monitoring,,
PET1,,,Perth Crieff,Perth and Kinross,Perth Crieff (Perth and Kinross),Urban Traffic,North East Scotland,01/04/2010,,56.373126,-3.841475,721614,286363,,Locally-managed automatic monitoring,,
PETH,,,Perth High Street,Perth and Kinross,Perth High Street (Perth and Kinross),Urban Traffic,North East Scotland,11/06/2003,16/03/2021,56.396597,-3.4324,723624.9,311680.93,,Locally-managed automatic monitoring,,
PET3,,,Perth Muirton,Perth and Kinross,Perth Muirton (Perth and Kinross),Urban Background,North East Scotland,05/07/2012,,56.41467,-3.44964,725658.62,310659.25,,Locally-managed automatic monitoring,,
PLY03,,,Plymouth Moor Lane,Plymouth,Plymouth Moor Lane (Plymouth),Urban Traffic,South West,04/10/2021,,50.402502,-4.181563,179117,496447,,Locally-managed automatic monitoring,,
PLY02,,,Plymouth Mutley Plain,Plymouth,Plymouth Mutley Plain (Plymouth),Urban Traffic,South West,27/09/2016,,50.382541,-4.133874,55804.94,248386.65,,Locally-managed automatic monitoring,,
PLY01,,,Plymouth Royal Parade,Plymouth,Plymouth Royal Parade (Plymouth),Urban Traffic,South West,01/10/2016,,50.370403,-4.144391,54476.95,247600.08,,Locally-managed automatic monitoring,,
